Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2021/02/15,0,0,0,0,0,0,0,0,0
2021/02/16,0,0,0,0,0,0,0,0,0
2021/02/17,0,0,0,0,0,0,0,0,0
2021/02/18,0,0,0,0,0,0,0,0,0
2021/02/19,0,0,0,0,0,0,0,0,0
2021/02/20,0,0,0,0,0,0,0,0,0
2021/02/21,0,0,0,0,0,0,0,0,0
2021/02/22,0,0,0,0,0,0,0,0,0
2021/02/23,0,0,0,0,0,0,0,0,0
2021/02/24,0,0,0,0,0,0,0,0,0
2021/02/25,0,0,0,0,0,0,0,0,0
2021/02/26,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/02/27,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/02/28,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/01,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/02,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/03,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/04,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/05,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/06,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/07,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/08,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/09,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/10,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/11,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/12,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/13,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/14,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/15,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/16,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/17,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/18,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/19,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/20,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/21,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/22,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/23,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/24,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/25,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/26,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/27,0,0,0.18486336472843,0.177588996240606,0.188269709012328,0.247605277893808,0.143816528141137,0.0386129945439003,0.0192431294397896
2021/03/28,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/03/29,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/03/30,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/03/31,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/04/01,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/04/02,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/04/03,0,0,0.0685094034086354,0.0597927455601695,0.0542666730799036,0.0648592027277634,0.116640746500778,0.32954952354994,0.30638170517281
2021/04/04,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/05,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/06,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/07,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/08,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/09,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/10,0,0,0.0636045997346307,0.0530915524104379,0.047063246351172,0.0494604157452455,0.0616762494471473,0.351707209199469,0.373396727111897
2021/04/11,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/12,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/13,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/14,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/15,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/16,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/17,0,0,0.0036819536344491,0.0369379452668853,0.0538478670888039,0.0634305320225654,0.0497232896254049,0.375705872236773,0.416672540125119
2021/04/18,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/19,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/20,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/21,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/22,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/23,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/24,0,0,0.00203669594786058,0.0324973181394972,0.0630566125571793,0.15253208112375,0.116132149941303,0.3131350443266,0.32061009796381
2021/04/25,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/26,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/27,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/28,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/29,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/04/30,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/05/01,0,0,0.0020111714163647,0.0853671851511939,0.125881766539551,0.119405193284491,0.073803345095495,0.283462031425542,0.310069307087362
2021/05/02,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/03,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/04,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/05,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/06,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/07,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/08,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/09,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/10,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/11,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/12,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/13,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/14,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/15,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/16,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/17,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/18,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/19,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/20,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/21,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/22,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/23,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/24,0,0,0.0391545391545392,0.0477118602118602,0.0539884664884665,0.0761781011781012,0.0562716562716563,0.345672458172458,0.381022918522919
2021/05/25,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/26,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/27,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/28,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/29,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/30,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/05/31,0,0,0.138554186736291,0.128758209164253,0.145696722336429,0.141097589644324,0.104229501473023,0.175124669257586,0.166539121388093
2021/06/01,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/02,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/03,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/04,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/05,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/06,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/07,0,0,0.178038473389972,0.148126953382929,0.167620431101525,0.129491863655706,0.0956625728162463,0.145669175800795,0.135390529852827
2021/06/08,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/09,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/10,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/11,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/12,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/13,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/14,0,0,0.0724022898562662,0.0623189599549717,0.0705146685336958,0.139196628365114,0.102823881498565,0.272654887909614,0.280088683881773
2021/06/15,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2021/06/16,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2021/06/17,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
